chart_id,difficulty,source_file,display_bpm,ebpm,total_stream_length,max_stream_length,break_count,stream_break_ratio,average_nps,peak_ebpm
34fe94a9,13,East Coast Stamina 11 - Lower/[13] Come & Get It/getit.sm,174.0,174.0,57,8,1,1.462,7.07,130.5
24affff4,13,Stamina RPG 6/[13] Deep Jungle Walk/Astrix - Deep Jungle Walk.sm,138.0,138.0,196,32,5,4.558,7.63,77.6
2605304f,13,East Coast Stamina 10 - Lower/[13] Deja Vu/dejavu.sm,154.0,154.0,92,11,11,2.091,8.31,144.4
c7535b83,13,Stamina RPG 6/[13] Fright March/cYsmix - Fright March.sm,160.0,160.0,65,24,4,3.421,7.91,150.0
09c2f7d5,13,East Coast Stamina 11 - Lower/[13] Louder/XS Project - Louder.sm,150.0,159.4,86,31,3,1.509,7.71,121.9
12553728,13,Stamina RPG 5/[13] March of the ants/March of the ants.sm,134.0,134.1,100,64,0,0.0,8.1,
013215b4,13,East Coast Stamina 10 - Lower/[13] No Shields/No Shields.sm,132.0,132.0,129,15,5,9.923,7.37,123.8
51a4e251,13,East Coast Stamina 11 - Lower/[13] Pluck/Pluck.sm,165.0,165.0,67,31,3,2.68,7.46,113.4
1c09e72e,13,East Coast Stamina 11 - Lower/[13] Sa_eed/saeed.sm,145.0,145.0,151,32,4,2.359,7.3,108.8
af0ce4f5,13,East Coast Stamina 10 - Lower/[13] Sakura Fubuki (Ata Remix)/fubuki.sm,175.0,175.0,63,17,3,2.864,7.46,142.2
2ea7a615,13,Stamina RPG 5/[13] Set Me On Fire (Novice)/setmeonfire.sm,140.0,140.0,132,23,2,5.077,7.91,122.5
f62b6b71,13,East Coast Stamina 10 - Lower/[13] Switch !/switch.sm,140.0,140.0,116,15,1,4.64,7.54,122.5
15e99bb2,13,East Coast Stamina 10 - Lower/[13] The Top/The Top.sm,160.0,160.0,50,6,11,1.0,7.59,150.0
c818fa87,13,Stamina RPG 5/[13] Timeleap/timeleap.sm,175.0,175.0,83,16,6,1.886,8.75,153.1
076fe90a,13,Stamina RPG 5/[13] Uh...Man/man.sm,162.0,162.0,91,22,8,1.82,8.57,141.8
23416c8c,13,Stamina RPG 6/[13] Virtual Pilgrim/06-Virtual Pilgrim.sm,148.0,148.0,119,15,0,0.0,8.54,
59938b50,14,East Coast Stamina 10 - Lower/[14] 80808/80808.sm,161.0,161.0,100,40,4,3.571,9.38,130.8
1c63fb3f,14,Stamina RPG 6/[14] Adrenaline/adrenaline.sm,163.0,163.0,97,15,1,12.125,9.8,101.9
824e362d,14,Stamina RPG 6/[14] Akatsuki/no kiseki.sm,170.0,201.9,103,15,8,1.212,7.98,159.4
16536c7e,14,Stamina RPG 5/[14] Black Church/Black Church.sm,174.0,174.0,94,28,3,2.611,7.63,87.0
4ccc32be,14,Stamina RPG 6/[14] Digital Warrior/digitalwarrior.sm,180.0,180.0,85,32,4,2.237,7.57,90.0
5620dabc,14,Stamina RPG 6/[14] Dog Days Bliss (Album Edit)/Filteria - Dog Days Bliss (Album Edit).sm,144.0,144.0,249,48,4,6.073,8.34,117.0
a94af20b,14,East Coast Stamina 10 - Lower/[14] Dreamenddischarger/dreamend.sm,140.0,157.5,273,58,5,6.5,8.28,113.8
8a082ade,14,Stamina RPG 5/[14] Eskimo & Icebird Megamix/Eskimo&Icebird.sm,143.0,148.7,457,80,19,2.737,7.55,131.2
6a193333,14,East Coast Stamina 11 - Lower/[14] Full Circle/Full Circle.sm,158.0,158.0,165,16,9,2.797,7.8,148.1
659e339d,14,East Coast Stamina 10 - Lower/[14] Gas Gas Gas/gasgasgas.sm,154.0,154.0,140,33,8,5.0,9.06,144.4
a7750ae1,14,Stamina RPG 5/[14] Granblaze/granblaze.sm,158.0,177.8,120,28,4,3.429,7.74,148.1
05ee7314,14,Stamina RPG 6/[14] Grimoire of Blue/01 Prologue -Grimoire of Blue-.sm,155.0,155.0,104,104,0,0.0,7.73,
53abf512,14,East Coast Stamina 10 - Lower/[14] Hooligans/hooligans.sm,160.0,160.0,102,10,9,2.833,8.65,150.0
e56f874d,14,Stamina RPG 5/[14] Katamari on the Rocks/Katamari on the Rocks.sm,160.0,160.0,144,31,12,2.286,8.97,150.0
0b4528dc,14,Stamina RPG 5/[14] Mala/mala.sm,145.0,145.0,209,71,1,13.062,7.97,
fdc013ca,14,East Coast Stamina 11 - Lower/[14] Moscow 3980/moscow.sm,147.0,147.0,249,88,3,9.96,8.96,110.2
e417c9d6,14,East Coast Stamina 10 - Lower/[14] Tension/tension.sm,174.0,174.0,89,31,3,1.935,6.32,108.7
3e6e1535,14,Stamina RPG 5/[14] Vertex Alpha (Hard)/vertexalpha.sm,180.0,180.0,74,40,3,1.156,7.54,135.0
4db6e696,14,East Coast Stamina 11 - Lower/[14] Way Away/Way-Away.sm,180.0,179.8,94,20,4,2.089,9.16,168.5
5cee3b37,14,East Coast Stamina 11 - Lower/[14] kagetsu/kagetsu.sm,175.0,175.0,108,28,7,1.385,8.5,164.1
4822794f,14,East Coast Stamina 10 - Lower/[14] squartatrice/squartatrice.sm,180.0,202.5,80,12,7,1.25,8.38,168.8
61bb6fed,15,East Coast Stamina 11 - Lower/[15] A Town With An Ocean View/A Town With An Ocean View (el Poco Maro Remix).sm,180.0,180.0,90,31,3,2.432,8.76,168.8
bef2fc8b,15,East Coast Stamina 10 - Lower/[15] AO-INFINITY/AO-INFINITY.sm,191.0,191.0,71,32,3,2.029,8.33,167.1
67009ac9,15,Stamina RPG 5/[15] Battle Train/Battle Train.sm,160.0,160.0,162,64,5,5.4,9.08,130.0
e6efbd2e,15,East Coast Stamina 11 - Lower/[15] Dawn Of Victory/victory.sm,190.0,190.0,126,17,12,1.658,9.39,142.5
fbc51422,15,East Coast Stamina 11 - Lower/[15] Dimension Ninja/Dimension Ninja.sm,174.0,174.0,100,64,5,0.917,8.29,141.4
a288ef7f,15,Stamina RPG 5/[15] Epimedium/epimedium.sm,180.0,180.0,94,28,5,2.474,7.9,
e2c148b4,15,Stamina RPG 5/[15] G e n g a o z o -Noize of Nocent-/G e n g a o z o -Noize of Nocent-.sm,155.0,174.4,269,111,1,16.812,9.4,96.9
044aa8d2,15,Stamina RPG 6/[15] GENE/gene.sm,163.0,163.0,194,89,5,5.105,9.04,122.2
88c17269,15,East Coast Stamina 10 - Lower/[15] Get Over the Barrier! (-Evolution!!-)/Get Over the Barrier.sm,180.0,180.0,111,32,5,2.362,8.7,157.5
d90b9bcc,15,East Coast Stamina 11 - Lower/[15] Ice Angel/Ice Angel.sm,168.0,168.0,193,63,3,3.642,9.23,126.0
4cfd6307,15,East Coast Stamina 10 - Lower/[15] Night Of Fire/nightoffire.sm,155.0,155.1,179,71,0,0.0,10.1,
dc74cd63,15,East Coast Stamina 11 - Lower/[15] REASON for RED/REASON for RED.sm,159.0,159.0,145,32,0,0.0,9.63,
32092e44,15,Stamina RPG 5/[15] Salt in the Wounds/saltinthewounds.sm,174.0,174.0,141,16,9,2.104,8.49,130.5
c1c8b442,15,Stamina RPG 6/[15] Satellite (Sewerslvt Edit)/satellite.sm,174.0,174.0,100,48,2,10.0,10.6,87.0
c892f266,15,Stamina RPG 5 - Unlocks/[15] Trance Trance Revolution/TranceTranceRevolution.sm,140.0,140.0,994,119,14,6.455,8.36,122.5
5850fedd,15,Stamina RPG 5/[15] Unreliable Narrator/Unreliable Narrator.sm,190.0,190.0,68,47,1,9.714,8.87,154.4
6960ee2b,15,Stamina RPG 6/[15] Virtual Paradise/Virtual Paradise.sm,188.0,188.0,79,48,1,2.469,7.43,
4963396c,15,Stamina RPG 6/[15] Wolves Standing Towards Enemies/wolves.sm,191.0,191.0,81,15,2,3.857,9.28,131.3
582f864c,15,East Coast Stamina 10 - Lower/[15] Wrong (Muzzy Remix)/Wrong (Muzzy Remix).sm,175.0,175.0,138,16,10,1.394,7.96,131.3
d31fc132,15,East Coast Stamina 10 - Lower/[15] Zusammengehorigkeit/zusammen.sm,165.0,165.0,175,82,6,4.268,9.17,113.4
62c9395a,15,Stamina RPG 6/[15] kunkka-kunkka/kunkka-kunkka.sm,150.0,150.0,311,311,0,0.0,9.69,
220f5a8d,16,Stamina RPG 6/[16] Aragami/Aragami.sm,196.0,196.0,90,70,3,2.432,9.3,183.8
4500e095,16,Stamina RPG 6/[16] BroGamer (Extended Mix)/09 BroGamer (Extended Mix).sm,207.0,207.0,89,8,4,2.405,10.23,181.1
cc85eed4,16,East Coast Stamina 11 - Lower/[16] Crush/crush.sm,174.0,174.0,120,120,0,0.0,10.55,
5396e79a,16,Stamina RPG 5/[16] Cybernecia Catharsis/cybernecia.sm,184.0,184.0,137,73,2,3.513,9.17,149.5
affe0182,16,East Coast Stamina 10 - Lower/[16] Deus ex Machina/Deus ex Machina.sm,208.0,208.0,82,32,8,1.64,10.87,195.0
df93ddef,16,Stamina RPG 5/[16] Eastern Dream/Eastern Dream.sm,165.0,165.0,321,89,9,5.262,9.35,154.7
1e5083e9,15,Stamina RPG 5 - Unlocks/[15] Entity FP 154/entityfp154.sm,154.0,154.0,291,83,2,18.188,9.62,105.9
5637a6ab,16,East Coast Stamina 10 - Lower/[16] Eurobeat Is Fantastic - Part 3 EXTENDED/marathonpt3.sm,160.0,160.0,330,32,8,9.429,9.56,130.0
ab773d0c,16,East Coast Stamina 11 - Lower/[16] Fly Away/flyaway.sm,186.0,197.6,134,80,1,5.583,10.99,151.1
1acf439e,16,East Coast Stamina 11 - Lower/[16] Heaven's Fall (2016 Rebuild)/Heaven's Fall.sm,200.0,200.0,122,17,10,1.694,10.48,187.5
e0ac2822,16,East Coast Stamina 10 - Lower/[16] Heretic Witch/hereticwitch.sm,184.0,184.4,133,96,0,0.0,11.83,
c6e2bd1c,16,Stamina RPG 6/[16] I'm Not Crazy/I'm Not Crazy.sm,180.0,180.0,190,66,4,2.184,9.66,157.5
5aa42312,16,Stamina RPG 5/[16] Just One Second/onesecond.sm,173.0,173.0,201,127,2,9.136,10.44,140.6
e86bdc67,16,Stamina RPG 5/[16] Liberator/Liberator.sm,200.0,200.0,78,16,2,2.516,7.96,100.0
06e41d36,16,East Coast Stamina 10 - Lower/[16] Meteor Shower/Meteor Shower.sm,174.0,174.0,224,160,1,7.0,10.41,87.0
3adc25f7,16,East Coast Stamina 10 - Lower/[16] Night sky/nightsky.sm,192.0,192.0,145,47,3,3.718,10.35,156.0
bc0f5fbd,16,Stamina RPG 5/[16] Salvation/Salvation.sm,192.0,192.0,130,31,5,1.857,9.2,144.0
91a6c603,16,East Coast Stamina 11 - Lower/[16] Say Hello to HOLLOWood/Say Hello to HOLLOWood.sm,192.0,192.0,121,20,13,1.551,9.3,180.0
6b774945,16,Stamina RPG 5 - Unlocks/[16] The Epic of Zektbach/zektbach.sm,165.0,165.0,561,86,19,3.869,9.06,134.1
b6ebbdc5,16,Stamina RPG 6/[16] United/NEBRGIBUP.sm,175.0,175.0,166,80,1,5.929,9.75,87.5
191e349a,16,Stamina RPG 6/[16] unnatural/unnatural.sm,167.0,167.0,238,158,1,59.5,10.42,135.7
10c95039,17,Stamina RPG 5/[17] Asereje/Asereje.sm,185.0,185.0,206,123,2,51.5,12.01,173.4
7fb92c03,17,East Coast Stamina 11 - Mid/[17] Bio Magnetic Tunnel Transport/tunnel.sm,179.0,179.0,336,104,4,3.5,9.31,89.5
30c764b9,17,Stamina RPG 5 - Unlocks/[17] Denjin K Megamix (Restep)/Denjin K Megamix.sm,191.0,173.0,787,96,23,2.632,8.96,162.2
884494f7,17,East Coast Stamina 10 - Lower/[17] Destination Talos/Destination Talos.sm,187.0,187.0,265,39,6,4.907,11.05,175.3
040ade93,17,East Coast Stamina 11 - Mid/[17] Difficulty-G/Difficulty-G.sm,191.0,191.5,138,14,14,4.929,11.12,179.5
3311a4ac,17,Stamina RPG 6/[17] Global Down/globaldown.sm,180.0,180.0,288,192,1,8.471,10.84,90.0
e02f76a0,17,Stamina RPG 6/[17] Goblin Humpa/The Dreadnoughts - Goblin Humpa.sm,218.0,218.0,76,12,8,1.434,10.56,190.8
0c386756,16,Stamina RPG 5/[16] I Miss You For Pleasure For Business/imissyouforpleasureforbusiness.sm,169.0,169.0,229,62,4,9.957,10.75,158.4
a38e7695,17,Stamina RPG 5/[17] La Morale De La Fable/La Morale De La Fable.sm,190.0,190.0,206,48,4,3.962,10.69,178.1
33941f5e,17,Stamina RPG 5/[17] Lift Off For Business/Lift Off.sm,179.0,179.0,274,47,2,45.667,10.55,167.8
580d0fe7,17,East Coast Stamina 10 - Lower/[17] Little Lies/Little Lies.sm,205.0,205.0,167,28,7,2.288,9.54,102.5
5a58db2b,17,East Coast Stamina 11 - Mid/[17] New Odyssey/odyssey.sm,204.0,204.0,162,32,4,3.682,10.39,165.7
df4730fa,17,East Coast Stamina 11 - Mid/[17] Outbreak (PxLight & DJ Myosuke Remix)/07 Outbreak (PxLight & DJ Myosuke Remix).sm,210.0,210.0,117,8,6,2.017,9.39,157.5
dce721e8,17,Stamina RPG 6/[17] Rebirth the end (Part I - Sasanqua)/sasanqua.sm,198.0,198.0,218,82,6,2.759,9.93,173.2
1f2801d5,17,East Coast Stamina 11 - Mid/[17] Signal (Girl_s Vocal Mix)/signal.sm,180.0,202.5,250,161,2,6.944,10.36,90.0
1a25d80e,21,Stamina RPG 6 - Unlocks/[21] Space Box FB 217/spaceboxfb217.sm,217.0,217.0,571,103,7,6.344,12.72,203.4
eaa0823a,17,Stamina RPG 6/[17] Toxic Shock (Novice)/toxicshock.sm,174.0,174.0,316,94,6,17.556,10.74,108.7
d4ad961c,17,Stamina RPG 5/[17] Unsainted/Unsainted.sm,210.0,210.0,120,30,4,3.529,10.55,196.9
51fe06de,17,Stamina RPG 6/[17] Whispers In The Dark/Whispers In The Dark.sm,203.0,203.0,212,72,3,3.262,9.68,
d82efbfb,17,Stamina RPG 5/[17] Yui & I/Yui & I.sm,208.0,208.0,164,32,7,1.691,9.62,156.0
5758729a,17,East Coast Stamina 10 - Lower/[17] Zap Your Channel/Zap your channel.sm,212.0,212.0,106,15,5,2.524,11.36,198.8
432a74dc,17,Stamina RPG 7/[17] Brooklyn Underground/Brooklyn Underground.sm,200.0,200.0,200,16,10,3.03,10.49,187.5
062d80b8,17,Stamina RPG 7/[17] Exelion FB 178/exelionfb178.sm,178.0,178.0,253,111,1,14.882,11.11,144.6
fe319b9c,17,Stamina RPG 7/[17] Extends Levant FB 185/extendsfb185.sm,185.0,185.0,242,107,2,12.737,11.07,161.9
71a1b1b7,17,Stamina RPG 7/[17] Midnight City/Midnight City.sm,210.0,210.0,104,56,3,1.625,8.64,105.0
3ca10142,16,Stamina RPG 7/[16] One Shot/Remzcore - One Shot.sm,213.0,213.0,92,14,12,2.0,9.29,199.7
7a1ad209,17,Stamina RPG 7/[17] Orca/orca.sm,195.0,195.0,142,32,6,4.438,10.55,182.8
f68fbc73,17,Stamina RPG 7/[17] Saikyo Stronger/Saikyo Stronger.sm,205.0,205.0,148,43,4,4.111,11.26,179.4
281e33d7,17,Stamina RPG 7/[17] Strawberry Crisis/crisis.sm,190.0,190.0,160,82,3,22.857,12.46,178.1
31ef1378,17,Stamina RPG 7/[17] Sukure/Sukure.sm,175.0,175.0,317,77,1,16.684,10.84,164.1
ab94f598,17,Stamina RPG 7/[17] Terminal Slam FB 183/terminalslamfb183.sm,183.0,183.0,192,192,0,0.0,11.04,
13ba2d42,17,Stamina RPG 7/[17] The Star of Collapse (Acts I & II)/The Star of Collapse Acts I and II.sm,183.0,183.0,261,144,2,6.868,10.7,114.4
4e8d8c02,17,Stamina RPG 7/[17] The Story of Mob/Helblinde_-_The_Story_of_Mob.sm,200.0,200.0,223,32,9,2.655,10.19,175.0
4f1ef294,17,Stamina RPG 7/[17] fleshbound/Fleshbound.sm,197.0,209.3,159,32,5,2.149,8.24,160.1
d9e4d907,18,Stamina RPG 7/[18] Aaron/Aaron.sm,212.0,212.0,193,54,2,7.148,12.75,106.0
28cb0397,18,Stamina RPG 7/[18] Cheatreal/t+pazolite - Cheatreal TPZREMAKE.sm,200.0,200.0,224,95,2,20.364,12.68,162.5
b9cec786,18,Stamina RPG 5 - Unlocks/[18] Colliding Skies - Dawn/Colliding Skies - Dawn.sm,180.0,180.0,929,65,29,7.146,10.96,168.8
f5691c45,18,Stamina RPG 7/[18] ESCAPE/FELE ESCAPE.sm,195.0,195.0,328,39,4,36.444,12.3,146.2
08a9b5a7,18,Stamina RPG 7/[18] Embrace the Endless Ocean/ben drowned.sm,195.0,195.0,223,150,3,3.597,10.89,146.2
58d3bb80,18,Stamina RPG 7/[18] Eurobeat Is Fantastic Part2 FB 183/eifp2fb183.sm,183.0,194.4,505,23,12,10.1,11.31,160.1
d10d156d,18,Stamina RPG 7/[18] Fly/Fly.sm,200.0,200.0,215,31,2,35.833,12.01,112.5
2ea46652,18,Stamina RPG 7/[18] Go To Hell/Go To Hell.sm,220.0,220.0,106,15,3,2.585,10.36,137.5
b8ba3b63,18,Stamina RPG 7/[18] Precious Song Dedicated to the Stars/precious.sm,190.0,190.0,324,97,2,12.462,11.5,154.4
271aa87f,18,Stamina RPG 7/[18] Rocking Bye/rockingbye.sm,210.0,210.0,185,15,11,2.761,10.47,170.6
759531fb,18,Stamina RPG 7/[18] Trails of Cold Stream SC Part1 FP 186/tocsscp1fp186.sm,186.0,186.0,379,100,0,0.0,11.48,
33c6cafb,18,Stamina RPG 7/[18] Usseewa (DJKurara Remix)/Usseewa.sm,225.0,225.0,97,32,2,1.516,9.77,182.8
748f0f3a,18,Stamina RPG 7/[18] What a Horrible Night to Have a Curse/What A Horrible Night To Have A Curse.sm,216.0,216.0,150,66,2,3.125,12.43,189.0
1f66b163,18,Stamina RPG 7/[18] one way to hannover/goreshit - semantics- the benzo chronicles - 07 one way to hannover.sm,208.0,208.0,137,64,2,3.114,9.72,182.0
b76ce077,19,Stamina RPG 7/[19] 5H4D0W/The Smiling Shadow - 5H4D0W.sm,200.0,200.0,391,46,5,9.31,11.59,100.0
e2959fef,19,Stamina RPG 7/[19] After End Start Before FP 198/afterendstartbeforefp198.sm,198.0,198.0,408,137,2,19.429,12.23,99.0
2989353d,19,Stamina RPG 7/[19] BGM 04/Danmaku Death OST - BGM 04.sm,230.0,230.0,94,31,1,11.75,13.32,143.8
5d6e1a24,19,Stamina RPG 7/[19] Big Blue/Big Blue.sm,228.0,228.1,149,40,5,4.027,12.17,213.8
6cf30a86,18,Stamina RPG 7/[18] Coffin Dance/Coffin Dance.sm,220.0,220.0,153,31,3,2.833,11.42,110.0
2e7f9aa4,19,Stamina RPG 7/[19] Cold Fusion/Fele - Cold Fusion.sm,200.0,200.0,349,208,0,0.0,12.65,
77b80190,19,Stamina RPG 7/[19] ENAMEL/ENAMEL.sm,224.0,224.0,135,31,7,2.647,11.07,182.0
4e619d6d,19,Stamina RPG 5 - Unlocks/[19] Enjoy The Flight (Side B) FB 194/enjoytheflightSideB.sm,194.0,194.0,779,92,15,2.623,10.21,181.9
6c3a683e,19,"Stamina RPG 7/[19] In my life, my mind (Restep)/In my life, my mind.sm",212.0,211.5,249,111,1,83.0,13.87,171.9
926f79c6,19,Stamina RPG 7/[19] Momentary Life/Momentary Life.sm,216.0,216.0,161,143,3,14.636,13.44,108.0
03e3ff3b,19,Stamina RPG 7/[19] Peyotech/Peyotech.sm,203.0,203.0,304,87,0,0.0,13.04,
7db102d9,19,Stamina RPG 7/[19] Sky High/Sky High.sm,230.0,229.5,68,28,1,5.667,11.59,153.0
676111af,19,Stamina RPG 7/[19] Yosakoi Rave Fuck That!!! (Overdrive)/yosakoi.sm,215.0,215.0,224,57,4,17.231,12.39,134.4
c561d7bc,19,"Stamina RPG 7/[19] You Touched the Kore, and Now You're Going to Die/You Touched The Kore, and Now You're Going to Die .sm",192.0,192.0,456,288,1,114.0,12.36,
1e4dc87e,20,"Stamina RPG 7/[20] Counter Hunter Stage/85. COUNTER HUNTER STAGE (MEGAMAN X2) - SOTI, TWEAKER.sm",224.0,224.1,140,140,0,0.0,14.74,
33d33aa3,20,Stamina RPG 5 - Unlocks/[20] Ha(ne)rdcore Otaku Connectionz/HOC.sm,200.0,200.0,1176,47,43,4.098,11.32,187.5
f7848a47,20,Stamina RPG 7/[20] Heavenly caress/heavenly.sm,241.0,241.0,93,33,4,3.444,12.52,135.6
c0d79d5e,20,Stamina RPG 7/[20] Lust SIN II/Lust SIN II.sm,230.0,230.0,205,64,5,6.029,13.11,215.6
142114f8,20,Stamina RPG 7/[20] Naruto RMX FP 208/narutormxfp208.sm,208.0,208.0,437,41,7,15.607,11.59,195.0
a03fa229,20,Stamina RPG 7/[20] Repeating Memories/Ajataa - Repeating Memories.sm,218.0,218.0,259,30,4,28.778,12.52,204.4
2651ef8f,20,Stamina RPG 7/[20] Scarlet Tempest (Super Arrange) (Medium)/Scarlet Tempest (Super Arrange).sm,233.0,232.5,147,60,2,8.167,13.6,155.0
ebe96497,20,Stamina RPG 7/[20] Sounds of Life (Medium)/soundsoflife.sm,218.0,217.5,249,93,4,16.6,13.71,184.9
d874cae2,20,Stamina RPG 7/[20] Spirit Of Children/Darktek - Spirit Of Children.sm,240.0,240.0,77,20,3,3.5,11.81,195.0
c96f8547,20,Stamina RPG 7/[20] Suwa Foughten Field/suwafoughtenfield.sm,220.0,220.0,220,58,5,20.0,14.03,206.3
0a926d2c,20,Stamina RPG 7/[20] The Sound Of Hard - [Zaia]/The Sound Of Hard.sm,220.0,220.0,213,47,2,7.345,13.21,206.3
3dd97610,20,Stamina RPG 7/[20] Trails of Cold Stream FC Part1 FB 204/tocsp1fb204.sm,204.0,80.0,485,103,1,242.5,5.16,65.0
ef968230,20,Stamina RPG 7/[20] Voltaic Black Knight/Voltaic Black Knight.sm,230.0,230.0,162,64,4,4.765,13.18,115.0
1c33a108,20,Stamina RPG 7/[20] the end/The End.sm,217.0,217.0,236,144,1,59.0,13.86,
be718432,21,Stamina RPG 7/[21] CAFO (Hard)/Animals as Leaders - Cafo.sm,233.0,232.5,258,57,6,2.58,11.83,184.1
481ecb5f,21,Stamina RPG 7/[21] Cerveau (Pattern J Remix) FB 234/cerveaufb234.sm,234.0,234.0,205,48,2,5.694,13.17,160.9
5ee4fdf1,21,Stamina RPG 7/[21] Cyberware Factory/Pattern J & DJ Mutante - Cyberware [230BPM] - cut.sm,229.0,228.5,252,48,6,7.0,12.79,142.8
c11461dc,21,Stamina RPG 7/[21] Jesus is the Answer/Jesus is the Answer.sm,240.0,240.0,154,52,5,2.702,12.04,150.0
9ffaeebe,21,Stamina RPG 7/[21] Murder Liner/DJ Kurara - Murder Liner.sm,240.0,240.0,155,38,6,2.818,11.98,210.0
4cd9355b,21,Stamina RPG 7/[21] Ride the Centaurus FB 218/ridethecentaurusfb218.sm,218.0,218.0,402,119,3,14.357,12.99,190.8
0bf17ad6,21,Stamina RPG 7/[21] Soul Surrender/Michael Monroe - Soul Surrender.sm,248.0,248.0,106,56,2,1.656,11.5,124.0
5c6d2bc3,21,Stamina RPG 7/[21] Stay Safe/SpaceChimp vs MinDelve - Stay Safe 220.sm,220.0,247.5,367,48,5,16.682,13.22,206.3
2d627d4f,21,Stamina RPG 7/[21] The Body Cosmic/The Body Cosmic.sm,220.0,220.0,425,144,4,7.589,12.92,178.8
833c280b,21,Stamina RPG 7/[21] The Morning After The Storm/The Morning After The Storm.sm,250.0,250.0,142,36,4,1.972,13.17,218.8
591a9ad1,21,Stamina RPG 7/[21] Venus Fire (Hard)/Venus Fire.sm,230.0,230.0,259,75,6,4.887,12.97,215.6
f18165be,21,Stamina RPG 7/[21] Witches Brew/Witches Brew.sm,256.0,256.0,64,32,1,1.778,9.48,128.0
bd98cf8f,22,Stamina RPG 8/[22] goretrance x (Side A)/Goretrance X.sm,230.0,230.0,438,81,2,73.0,14.56,115.0
0cf94b26,21,Stamina RPG 5 - Unlocks/[21] stamina training/stamina training.sm,210.0,210.0,1179,74,36,3.312,11.09,183.8
595adac1,22,Stamina RPG 7/[22] Fergalicious FB 261/Fergalicious FB 261.sm,261.0,261.0,119,29,7,0.93,10.8,228.4
a6083e5c,22,Stamina RPG 7/[22] Illegal Function Call (Hard)/U1-ASAMi - Illegal Function Call.sm,260.0,260.0,91,32,3,2.935,13.22,243.8
04061b5a,22,Stamina RPG 7/[22] Lunar Butterfly FB 227/lunarbutterflyfb227.sm,227.0,241.2,463,64,5,7.015,12.45,184.4
01ac3a26,22,Stamina RPG 7/[22] Musician (mitei bootleg)/Musician (mitei bootleg).sm,256.0,256.0,162,46,5,2.793,13.58,144.0
2c4dc31f,22,Stamina RPG 7/[22] Nachmancore/Nachmancore.sm,225.0,225.0,761,143,21,7.765,13.75,210.9
